corp_name,corp_uid,original_name,lat,lng,location,nace_code,postcode,street,nh3_yeartotal,nh3_2015,has_local_subsidies,has_subsidies,local_subsidies,total_subsidies
Landwirtschaftsbetrieb Hans-Joachim Schulz,5f5f34cc-87e1-4632-b809-7a13ce73550b,Landwirtschaftsbetrieb Hans-Joachim Schulz,52.7412472966489,14.1739775665573,Oderaue,147.0,16259,Neumädewitz 40a,32200.0,18400.0,0,0,0.0,0.0
Köcher & Meuser KG,ca1bba5e-84bb-42d4-b79d-5f2cf3bbaf82,Köcher & Meuser KG,52.1357265750639,11.1305587545053,Badeleben,146.0,39393,Üplinger Str. 6,213400.0,43700.0,0,0,0.0,0.0
Schweinemast Schadow GmbH,1ee6703a-b580-47d5-9d18-08c76dfbc8d7,Schweinemast Schadow GmbH,52.0443775667035,14.2751179965712,Friedland,146.0,15848,Schadow 19,50000.0,12500.0,0,0,0.0,0.0
ALFRA Geflügel GmbH & Co. Besitz KG,70a9239c-b63f-4d5a-a034-d91a5bd08f8e,WIMEX Geflügel Sachsen GmbH Elterntierhaltung,51.528342114462994,12.7622083588412,Mockrehna,147.0,04838,None None,174800.0,44500.0,0,0,0.0,0.0
Schweinemast Steimke GmbH,f18d8b3c-90c6-4691-954c-bfc3b6d91b4a,Schweinemast Steimke GmbH,52.59545523995621,10.971447597868,Klötze/ OT Steimke,146.0,38486,Vordorf 14c,56800.0,14200.0,1,1,125213.93000000001,125213.93000000001
Winfried Närmann,01ab7ade-de1c-426f-b573-1f2abc450fb4,"Närmann, Winfried",51.8081711332039,7.565444342084991,Senden,146.0,48308,Kreuzbauerschaft 9,69600.0,15700.0,1,1,29686.35,29686.35
v. Wendorff KG DaWa,212972b4-785f-4d8e-91ae-c91a2d566c86,v. Wendorff KG DaWa,53.963469282487495,12.5503034323665,Walkendorf,146.0,17179,Dorfstraße 59a,80300.0,14900.0,1,1,593494.62,593494.62
BUDISSA Agrar GmbH Kubschütz,f9e4b630-23ec-4e3d-9725-e793cd3ba888,BUDISSA Agrar GmbH,51.16291454595,14.5669263440403,Hochkirch,146.0,02627,Pommritz 5a,41100.0,10200.0,0,0,0.0,0.0
Tobias Winnige,2e274bd0-fa11-4ba6-bd10-90b33fdf0ec2,Tobias Winnige,52.6174860033109,14.302157633520201,Letschin,147.0,15324,Neu-Rosenthal 10,62800.0,15700.0,1,1,112608.98000000001,112608.98000000001
Agrargenossenschaft mbH Lübesse,a0ac6781-c6a5-4c1b-bac5-af56883676c2,Agp Lübesse Agrarproduktgesellschaft mbH  Hähnchenmast / Rinderanlage Mirow,53.4907968505378,11.4925338856052,Banzkow,150.0,19079,Am Moosberg 1,59800.0,11900.0,0,0,0.0,0.0
Joachim Klette,4b06d2a0-a911-4852-b101-4b6da6b16c95,Domäne Alikendorf GbR,51.985259027108,11.2862525172069,Oschersleben OT Alikendorf,146.0,39387,Hadmerslebener Str. 7,43600.0,10900.0,1,1,397064.05,397064.05
MET Brutei KG,c7372784-be58-4d9f-baf4-7ad646a7f370,MET Brutei KG,51.2092521344193,13.1013235860562,Ostrau,147.0,04749,Gaschütz 1,101000.0,50500.0,0,0,0.0,0.0
Martina und Friedrich Neuling,3d562c38-9d1e-4311-8aa5-db771c4b55bf,Zuchtläuferproduktion Schwiesau Martina und Friedrich Neuling,52.589200138845904,11.2750935177285,Klötze,146.0,39638,Zu den Hellbergen None,21700.0,10600.0,0,0,0.0,0.0
Van Asten Tierzucht Nordhausen GmbH & Co. KG,1e78aa35-1240-4701-9a41-a51c991f4e49,Van Asten Tierzucht Nordhausen GmbH & Co. KG,51.4803590511547,10.7893132168645,Nordhausen,146.0,99734,Kommunikationsweg 11,620000.0,130000.0,1,1,1134077.65,1134077.65
"Rohkamp, Manjo",ca7f7242-a01a-4b42-b765-a066bcc5a07d,"Rohkamp, Manjo",51.866538687730795,7.10882987867731,Coesfeld,146.0,48653,Letter Bruch 15,47200.0,11800.0,1,1,35477.04,35477.04
Karl-Heinz Lönnecker Karl-Heinz Lönnecker,d2a27f1a-69f1-4374-bebe-dbeea67016b9,Karl-Heinz Lönnecker Karl-Heinz Lönnecker,51.963607434863995,9.33959137118133,Bad Pyrmont,146.0,31812,Windmühlenstraße 22,68000.0,13600.0,0,0,0.0,0.0
"PMF GmbH, Industriering 10a 49393 Lohne",a6562e27-30c6-42c4-8ae0-ba1f7e29c81d,PMF GmbH,52.003197781362715,8.31097931665529,Steinhagen,147.0,33803,Kölkebecker Str. 41,66500.0,13300.0,0,0,0.0,0.0
